"COD_MECC_SEC95ITA","CORR_COD_ESA95","LIVELLO","COD_MECC_LABEL_IT","COD_MECC_COMMENT_IT","COD_MECC_LABEL_EN","COD_MECC_COMMENT_EN","COD_MECC_UNITO","COD_CHIAVE_PADRE_UNITO"
"BA AA AA EA","AN.11122",4,"Altre opere","Opere diverse dai fabbricati, compresi i costi di costruzione di strade, di posa di fognature e dei lavori di sgombero del cantiere e di preparazione del terreno diversi da quelli per fabbricati.
Si comprendono in particolare:
Vie di comunicazione: strade, autostrade, idrovie, valichi, ponti, funivie, ecc.;
Strutture e infrastrutture idrauliche: ovvero beni volti alla regolamentazione dei corsi d'acqua ed al suo corretto deflusso (dighe, argini, sistemazione corsi d'acqua, canali di irrigazione, acquedotti, fognature, ecc.);
Strade ferrate e relativi materiali di esercizio: infrastrutture, gestite direttamente o affidate a terzi in concessione governativa, di diversi punti mediante sistemi ferrovari: ferrovie, binari, materiale rotabile, ecc.;
Impianti sportivi: impianti adibiti ad attività sportive (campi di calcio, stadi, campi di tennis, palestre ginnastiche, piscine pubbliche ed altri impianti di cui lo Stato è proprietario);
A parte si comprendono infine le opere in corso di costruzione, che sono incluse qualora si considera che l'utilizzatore finale ne è diventato proprietario o perché è stato stipulato un contratto di appalto, le opere di manutenzione straordinaria e le opere per la sistemazione del suolo (ovvero interventi per dare un opportuno assetto al territorio, come bonifiche, recinzioni aree protette, rimboschimenti, ecc.).","Other structures","Structures other than buildings, including the cost of the streets, sewers and site clearance and preparation other than for buildings.
These include in particular:
Transportation routes: roads, motorways, waterways, passes, bridges, cableways, etc.;
Hydraulic structures and infrastructures: assets intended for regulating watercourses and ensuring their proper flow (dams, embankments, river-training works, irrigation canals, aqueducts, sewer systems, etc.);
Railways and related operating equipment: infrastructures—managed directly or assigned to third parties under government concession—connecting various points by means of rail systems: railways, tracks, rolling stock, etc.;
Sports facilities: facilities used for sporting activities (football fields, stadiums, tennis courts, gymnasiums, public swimming pools, and other facilities owned by the State);
Also included, separately, are structures under construction, which are accounted for when the final user is considered to have become the owner, either because a procurement contract has been concluded, as well as extraordinary maintenance works and land improvement works (i.e., interventions aimed at giving the territory an appropriate structure, such as land reclamation, protected area fencing, reforestation, etc.).","BAAAAAEA","BAAAAA"
"BA AA AA EA EA","",5,"IMPIANTI SPORTIVI","Strutture destinate ad attività sportive, comprese palestre, stadi, campi da gioco, piscine pubbliche e altri impianti di proprietà dello Stato, inclusi gli impianti permanenti necessari al loro funzionamento e le opere accessorie.","SPORT FACILITIES","Structures intended for sporting activities, including gyms, stadiums, playing fields, public swimming pools, and other state-owned facilities, including permanent installations necessary for their operation and ancillary works.","BAAAAAEAEA","BAAAAAEA"
"BA AA AA FA","",4,"Diritti reali di godimento sui beni altrui","Diritti che attribuiscono al titolare (Stato) una signoria limitata su beni di terzi.","Rights of enjoyment over property owned by others","Rights that grant the holder (the State) a limited control or authority over property owned by third parties.","BAAAAAFA","BAAAAA"
"BA AA AA FA AA","",5,"DIRITTI REALI DI GODIMENTO SU BENI ALTRUI","Diritti che attribuiscono al titolare (Stato) una signoria limitata su beni di terzi.","RIGHTS OF ENJOYMENT OVER PROPERTY OWNED BY OTHERS","Rights that grant the holder (the State) a limited control or authority over property owned by third parties.","BAAAAAFAAA","BAAAAAFA"
"BA AA BA","AN.112",3,"BENI IMMATERIALI PRODOTTI","Capitale fisso costituito da: prospezioni minerarie, software, originali di opere artistiche, letterarie o di intrattenimento o altri beni immateriali prodotti, come specificato in appresso, che si intende utilizzare per più di un anno.","INTANGIBLE FIXED ASSETS","Fixed assets that consist of: mineral exploration, computer software, entertainment, literary or artistic originals and other intangible fixed assets, as defined below, intended to be used for more than one year.","BAAABA","BAAA"
"BA AA BA AA","",4,"Diritti di sfruttamento","Diritti sui beni per ricavare il maggior utile possibile.","Exploitation rights","Rights over assets aimed at deriving the maximum possible benefit.","BAAABAAA","BAAABA"
"BA AA BA AA AA","AN.1121",5,"PROSPEZIONI MINERARIE","Importo delle spese per la ricerca di petrolio, di gas naturale e di giacimenti non petroliferi. Tali spese comprendono i costi precedenti all'ottenimento delle autorizzazioni, i costi per il rilascio delle autorizzazioni e i costi di acquisizione, i costi di valutazione e i costi delle effettive trivellazioni esplorative e di perforazione, come pure i costi di rilievi aerei o altre indagini, i costi di trasporto, ecc., sostenuti per rendere possibile l'esecuzione delle prospezioni.","MINERAL EXPLORATION","The value of expenditures on exploration for petroleum and natural gas and for non-petroleum deposits. These expenditures include prelicence costs, licence and acquisition costs, appraisal costs and the costs of actual test drilling and boring, as well as the costs of aerial and other surveys, transportation costs, etc., incurred to make it possible to carry out the tests.","BAAABAAAAA","BAAABAAA"
"CA","AN.2",1,"ATTIVITÀ NON FINANZIARIE
NON PRODOTTE","Attività non finanziarie che non sono ottenute quale prodotti di processi di produzione. Le attività non prodotte sono costituite da beni materiali e beni immateriali, come specificato in appresso.","NON-FINANCIAL NON-PRODUCED ASSETS","Non-financial assets that come into existence other than through processes of production. Non-produced assets consist of tangible assets and intangible assets, as defined below. ","CA",""
"CA AA","AN.21",2,"Beni materiali non prodotti","Attività non prodotte presenti in natura sulle quali possono essere esercitati diritti di proprietà, incluso il trasferimento di questi. Sono esclusi i beni legati all'ambiente sui quali non sono o non possono essere esercitati diritti di proprietà. I beni materiali non prodotti sono costituiti da beni del demanio naturale, terreni, giacimenti, risorse biologiche non coltivate.","Tangible non-produced assets","Non-produced assets that occur in nature and over which ownership may be enforced and transferred. Environmental assets over which ownership rights have not, or cannot, be enforced are excluded. Tangible non-produced assets consist of natural state-owned assets, land, subsoil assets, non-cultivated biological resources.","CAAA","CA"
"CA AA AA","",3,"BENI DEL DEMANIO NATURALE","Beni di proprietà dello Stato costituiti dal demanio marittimo, dal demanio idrico e forestale.","NATURAL STATE-OWNED ASSETS","State-owned assets consisting of maritime, water, and forest public property.","CAAAAA","CAAA"
