"codice_1_livello","label_1_livello_it"
"DISL02","DESIGN"
"DISL01","PROGETTAZIONE GRAFICA ED EDITORIALE"
"DIPL02","DESIGN"
"DIPL01","PROGETTAZIONE GRAFICA ED EDITORIALE"
"DDSL03","COREOGRAFIA"
"DDSL02","DANZA CONTEMPORANEA"
"DDSL01","DANZA CLASSICA"
"DDPL03","COREOGRAFIA"
"DDPL02","DANZA CONTEMPORANEA"
"DDPL01","DANZA CLASSICA"
"DCSL99 (codice temporaneo in attesa di accreditamento)","TERAPEUTICA ARTISTICA"
"DCSL72","Teorie e tecniche in musicoterapia"
"DCSL68","MUSICA D'INSIEME"
"DCSL67","POPULAR MUSIC"
"DCSL66","ORGANO LITURGICO"
"DCSL65/A","Musiche tradizionali – Canzone classica napoletana"
"DCSL65","MUSICHE TRADIZIONALI"
"DCSL64","COMPOSIZIONE JAZZ"
"DCSL63","LIED E ORATORIO in lingua tedesca"
"DCSL62","MUSICA SACRA in lingua tedesca"
"DCSL61","TECNICO DEL SUONO"
"DCSL60","MUSICA APPLICATA"
"DCSL59","PREPOLIFONIA"
"DCSL58","VIOLONCELLO BAROCCO"
"DCSL57","VIOLONCELLO"
"DCSL56","VIOLINO JAZZ"
"DCSL55","VIOLINO BAROCCO"
"DCSL54","VIOLINO"
"DCSL53","VIOLA DA GAMBA"
"DCSL52","VIOLA"
"DCSL51","TROMBONE RINASCIMENTALE E BAROCCO"
"DCSL50","TROMBONE JAZZ"
"DCSL49","TROMBONE"
"DCSL48","TROMBA RINASCIMENTALE E BAROCCA"
"DCSL47","TROMBA JAZZ"
"DCSL46","TROMBA"
"DCSL45","TASTIERE ELETTRONICHE JAZZ"
"DCSL44","STRUMENTI A PERCUSSIONE"
"DCSL43","STRUMENTAZIONE PER ORCHESTRA DI FIATI"
"DCSL42","PIANOFORTE JAZZ"
"DCSL41","SAXOFONO"
"DCSL40","JAZZ"
"DCSL39","PIANOFORTE"
"DCSL38","ORGANO"
"DCSL37","OBOE BAROCCO E CLASSICO"
"DCSL36","OBOE"
"DCSL35","MUSICA VOCALE DA CAMERA"
"DCSL34","MUSICA ELETTRONICA"
"DCSL33","DIREZIONE DI CORO E COMPOSIZIONE CORALE"
"DCSL32","MANDOLINO"
"DCSL31","MAESTRO COLLABORATORE"
"DCSL30","LIUTO"
"DCSL29","FLAUTO TRAVERSIERE"
"DCSL28","FLAUTO DOLCE"
"DCSL27/A","FLAUTO JAZZ"
"DCSL27","FLAUTO"
"DCSL26","FISARMONICA"
"DCSL25","FAGOTTO BAROCCO E CLASSICO"
"DCSL24","FAGOTTO"
"DCSL23","EUFONIO"
"DCSL22/A","Direzione del repertorio vocale e sacro"
"DCSL22","DIREZIONE D'ORCHESTRA"
"DCSL21","DIDATTICA DELLA MUSICA"
"DCSL20","CORNO NATURALE"
"DCSL19","CORNO"
"DCSL17","CONTRABBASSO JAZZ"
"DCSL16","CONTRABBASSO"
"DCSL15/C ","Composizione per teatro e cinema"
"DCSL15/A","Discipline storiche, critiche e analitiche della musica"
"DCSL15","COMPOSIZIONE"
"DCSL14/A","PIANOFORTE STORICO"
"DCSL14","CLAVICEMBALO E TASTIERE STORICHE"
"DCSL13","CLARINETTO STORICO"
"DCSL12","CLARINETTO JAZZ"
"DCSL11","CLARINETTO"
"DCSL10","CHITARRA JAZZ"
"DCSL09","CHITARRA"
"DCSL08","CANTO RINASCIMENTALE E BAROCCO"
"DCSL07","CANTO JAZZ"
"DCSL06/B","Regia nel teatro musicale"
"DCSL06","CANTO"
"DCSL05","BATTERIA E PERCUSSIONI JAZZ"
"DCSL04","BASSO TUBA"
"DCSL03","BASSO ELETTRICO JAZZ"
"DCSL02","ARPA RINASCIMENTALE E BAROCCA"
"DCSL01","ARPA"
"DCPL73","ARMONICA A BOCCA CROMATICA"
"DCPL67","POPULAR MUSIC"
"DCPL66","ORGANO E MUSICA LITURGICA"
"DCPL65","MUSICHE TRADIZIONALI"
"DCPL64","COMPOSIZIONE JAZZ"
"DCPL63","LIED ED ORATORIO IN LINGUA TEDESCA"
"DCPL62","MUSICA SACRA IN LINGUA TEDESCA"
"DCPL61","TECNICO DEL SUONO"
"DCPL60","MUSICA APPLICATA"
"DCPL59","PREPOLIFONIA"
"DCPL58","VIOLONCELLO BAROCCO"
"DCPL57","VIOLONCELLO"
"DCPL56","VIOLINO JAZZ"
"DCPL55","VIOLINO BAROCCO"
"DCPL54","VIOLINO"
"DCPL53","VIOLA DA GAMBA"
"DCPL52","VIOLA"
"DCPL51","TROMBONE RINASCIMENTALE E BAROCCO"
"DCPL50","TROMBONE JAZZ"
"DCPL49","TROMBONE"
"DCPL48","TROMBA RINASCIMENTALE E BAROCCA"
"DCPL47","TROMBA JAZZ"
"DCPL46","TROMBA"
"DCPL45","TASTIERE ELETTRONICHE JAZZ"
"DCPL44","STRUMENTI A PERCUSSIONE"
"DCPL43","STRUMENTAZIONE PER ORCHESTRA DI FIATI"
"DCPL42","SAXOFONO JAZZ"
"DCPL41","SAXOFONO"
"DCPL40","PIANOFORTE JAZZ"
"DCPL39","PIANOFORTE"
"DCPL38","ORGANO"
"DCPL37","OBOE BAROCCO E CLASSICO"
"DCPL36","OBOE"
"DCPL35","MUSICA VOCALE DA CAMERA"
"DCPL34","MUSICA ELETTRONICA"
"DCPL33","DIREZIONE DI CORO E COMPOSIZIONE CORALE"
"DCPL32","MANDOLINO"
"DCPL31","MAESTRO COLLABORATORE"
"DCPL30","LIUTO"
"DCPL29","FLAUTO TRAVERSIERE"
"DCPL28","FLAUTO DOLCE"
"DCPL27/A","FLAUTO JAZZ"
"DCPL27","FLAUTO"
"DCPL26","FISARMONICA"
"DCPL25","FAGOTTO BAROCCO"
"DCPL24","FAGOTTO"
"DCPL23","EUFONIO"
"DCPL22","DIREZIONE D'ORCHESTRA"
"DCPL21","DIDATTICA DELLA MUSICA"
"DCPL20","CORNO NATURALE"
"DCPL19","CORNO"
"DCPL18","CORNETTO"
"DCPL17","CONTRABBASSO JAZZ"
"DCPL16","CONTRABBASSO"
"DCPL15/A","Discipline storiche, critiche e analitiche della musica"
"DCPL15","COMPOSIZIONE"
"DCPL14","CLAVICEMBALO E TASTIERE STORICHE"
"DCPL13","CLARINETTO STORICO"
"DCPL12","CLARINETTO JAZZ"
"DCPL11","CLARINETTO"
"DCPL10","CHITARRA JAZZ"
"DCPL09","CHITARRA"
"DCPL08","CANTO RINASCIMENTALE E BAROCCO"
"DCPL07","CANTO JAZZ"
"DCPL06","CANTO"
"DCPL05","BATTERIA E PERCUSSIONI JAZZ"
"DCPL04","BASSO TUBA"
"DCPL03","BASSO ELETTRICO JAZZ"
"DCPL02","ARPA RINASCIMENTALE E BAROCCA"
"DCPL01","ARPA"
"DASLQ01","RESTAURO"
"DASL11","CINEMA, AUDIOVISIVO, FOTOGRAFIA"
"DASL10","DIDATTICA DELL'ARTE"
"DASL09","COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO"
"DASL08","NUOVE TECNOLOGIE PER L’ARTE"
"DASL06","PROGETTAZIONE ARTISTICA PER L'IMPRESA"
"DASL05","SCENOGRAFIA"
"DASL04","GRAFICA"
"DASL03","DECORAZIONE"
"DASL02","SCULTURA"
"DASL01","PITTURA"
"DAPL11","CINEMA, AUDIOVISIVO, FOTOGRAFIA"
"DAPL10","DIDATTICA DELL'ARTE"
"DAPL09","COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO"
"DAPL08","NUOVE TECNOLOGIE PER L’ARTE"
"DAPL08","PROGETTAZIONE ARTISTICA PER L'IMPRESA"
"DAPL07","RESTAURO"
"DAPL06","PROGETTAZIONE ARTISTICA PER L'IMPRESA"
"DAPL05","SCENOGRAFIA"
"DAPL04","GRAFICA"
"DAPL03","DECORAZIONE"
"DAPL02","SCULTURA"
"DAPL01","PITTURA"
"DADSL03","REGIA"
"DADSL02","RECITAZIONE"
"DADPL03","REGIA"
"DADPL02","RECITAZIONE"
"99999","Classe non definita"
"99998","Classe non richiesta"
"9","Ingegneria dell'informazione"
"8","Ingegneria civile e ambientale"
"7","Urbanistica e scienze della pianificazione territoriale e ambientale"
"6","Scienze del servizio sociale"
"5","Lettere"
"45","Professioni sanitarie tecniche"
"44","Professioni sanitarie della riabilitazione"
"43","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica"
"42","Disegno industriale"
"41","Tecnologie per la conservazione e il restauro dei beni culturali"
"40","Scienze e tecnologie zootecniche e delle produzioni animali"
"4","Scienze dell'architettura e dell'ingegneria edile"
"39","Scienze del turismo"
"38","Scienze storiche"
"37","Scienze statistiche"
"36","Scienze sociologiche"
"35","Scienze sociali per la cooperazione, lo sviluppo e la pace"
"34","Scienze e tecniche psicologiche"
"33","Scienze delle attivita motorie e sportive"
"32","Scienze matematiche"
"3119","Architettura e ingegneria edile-architettura (quinquennale)"
"3118","Scienze della difesa e della sicurezza"
"3115","Scienze criminologiche applicate all'investigazione e alla sicurezza"
"3111","Scienze delle professioni sanitarie tecniche"
"31","Scienze giuridiche"
"3095","Traduzione specialistica e interpretariato"
"3093","Teorie della comunicazione"
"3091","Studi europei"
"3089","Sociologia e ricerca sociale"
"3087","Scienze zootecniche e tecnologie  animali"
"3086","Scienze pedagogiche"
"3085","Scienze storiche"
"3083","Scienze statistiche"
"3080","Scienze geofisiche"
"3079","Scienze filosofiche"
"3077","Scienze economiche per l'ambiente e la cultura"
"3074","Scienze e tecnologie forestali ed ambientali"
"3054","Scienza e ingegneria dei materiali"
"3050","Progettazione e gestione dei sistemi turistici"
"3046","Musicologia e beni musicali"
"3027","Ingegneria della sicurezza"
"3024","Ingegneria civile"
"3019","Informatica"
"30","Scienze geografiche"
"3","Scienze della mediazione linguistica"
"29","Filosofia"
"28","Scienze economiche"
"27","Scienze e tecnologie per l'ambiente e la natura"
"26","Scienze e tecnologie informatiche"
"25","Scienze e tecnologie fisiche"
"24","Scienze e tecnologie farmaceutiche"
"23","Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda"
"22","Scienze e tecnologie della navigazione marittima e aerea"
"21","Scienze e tecnologie chimiche"
"2051","Scienze criminologiche e della sicurezza"
"2040","Sociologia"
"2035","Scienze matematiche"
"2029","Scienze e tecnologie farmaceutiche"
"2015","Scienze del turismo"
"20","Scienze e tecnologie agrarie, agroalimentari e forestali"
"2","Scienze dei servizi giuridici"
"19","Scienze dell'amministrazione"
"18","Scienze dell'educazione e della formazione"
"17","Scienze dell'economia e della gestione aziendale"
"16","Scienze della Terra"
"15","Scienze politiche e delle relazioni internazionali"
"14","Scienze della comunicazione"
"13","Scienze dei beni culturali"
"12","Scienze biologiche"
"1109","Specialistiche nelle scienze delle professioni sanitarie della prevenzione"
"1106","Specialistiche nelle scienze infermieristiche e ostetriche"
