"codice_1_livello","label_1_livello_it"
"100","Laurea: 100/110 - 91/100"
"101","Laurea: 101/110 - 92/100"
"102","Laurea: 102/110 - 93/100"
"103","Laurea: 103/110 - 94/100"
"104","Laurea: 104/110 - 95/100"
"105","Laurea: 105/110 - 95/100"
"106","Laurea: 106/110 - 96/100"
"107","Laurea: 107/110 - 97/100"
"108","Laurea: 108/110 - 98/100"
"109","Laurea: 109/110 - 99/100"
"110","Laurea: 110/110 - 100/100"
"111","Laurea: 110/110 - 100/100 con lode"
"112","Idoneo"
"66","Laurea: 66/110 - 60/100"
"67","Laurea: 67/110 - 61/100"
"68","Laurea: 68/110 - 62/100"
"69","Laurea: 69/110 - 63/100"
"70","Laurea: 70/110 - 64/100"
"71","Laurea: 71/110 - 65/100"
"72","Laurea: 72/110 - 65/100"
"73","Laurea: 73/110 - 66/100"
"74","Laurea: 74/110 - 67/100"
"75","Laurea: 75/110 - 68/100"
"76","Laurea: 76/110 - 69/100"
"77","Laurea: 77/110 - 70/100"
"78","Laurea: 78/110 - 71/100"
"79","Laurea: 79/110 - 72/100"
"80","Laurea: 80/110 - 73/100"
"81","Laurea: 81/110 - 74/100"
"82","Laurea: 82/110 - 75/100"
"83","Laurea: 83/110 - 75/100"
"84","Laurea: 84/110 - 76/100"
"85","Laurea: 85/110 - 77/100"
"86","Laurea: 86/110 - 78/100"
"87","Laurea: 87/110 - 79/100"
"88","Laurea: 88/110 - 80/100"
"89","Laurea: 89/110 - 81/100"
"90","Laurea: 90/110 - 82/100"
"91","Laurea: 91/110 - 83/100"
"92","Laurea: 92/110 - 84/100"
"93","Laurea: 93/110 - 85/100"
"94","Laurea: 94/110 - 85/100"
"95","Laurea: 95/110 - 86/100"
"96","Laurea: 96/110 - 87/100"
"97","Laurea: 97/110 - 88/100"
"98","Laurea: 98/110 - 89/100"
"99","Laurea: 99/110 - 90/100"
"997","Voto non previsto"
"998","Laurea estera"
"999","Voto non fornito"
