id;prefLabel;comment;notation
705010200010001000;BIOCHIMICA CLINICA (VECCHIO ORDINAMENTO);;705.01.02.0001.0001.000
705010200010004000;SCIENZA DELL'ALIMENTAZIONE (VECCHIO ORDINAMENTO);;705.01.02.0001.0004.000
705010200010005000;STATISTICA SANITARIA (VECCHIO ORDINAMENTO);;705.01.02.0001.0005.000
705010300020001000;ALLERGOLOGIA ED IMMUNOLOGIA CLINICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0001.000
705010300020002000;ANATOMIA PATOLOGICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0002.000
705010300020003000;ANESTESIA E RIANIMAZIONE (VECCHIO ORDINAMENTO);;705.01.03.0002.0003.000
705010300020004000;AUDIOLOGIA E FONIATRIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0004.000
705010300020005000;CARDIOANGIOCHIRURGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0005.000
705010300020006000;CARDIOCHIRUGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0006.000
705010300020007000;CARDIOCHIRURGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0007.000
705010300020008000;CARDIOLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0008.000
705010300020009000;CHIRURGIA DELL'APPARATO DIGERENTE ED ENDOSCOPIA DIGESTIVA CHIRURGICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0009.000
705010300020010000;CHIRURGIA DELLA MANO (VECCHIO ORDINAMENTO);;705.01.03.0002.0010.000
705010300020011000;CHIRURGIA GENERALE (VECCHIO ORDINAMENTO);;705.01.03.0002.0011.000
705010300020012000;CHIRURGIA MAXILLO-FACCIALE (VECCHIO ORDINAMENTO);;705.01.03.0002.0012.000
705010300020013000;CHIRURGIA ODONTOSTOMATOLOGICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0013.000
705010300020014000;CHIRURGIA PEDIATRICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0014.000
705010300020015000;CHIRURGIA PLASTICA E RICOSTRUTTIVA (VECCHIO ORDINAMENTO);;705.01.03.0002.0015.000
705010300020016000;CHIRURGIA TORACICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0016.000
705010300020017000;CHIRURGIA VASCOLARE (VECCHIO ORDINAMENTO);;705.01.03.0002.0017.000
705010300020018000;DERMATOLOGIA E VENEREOLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0018.000
705010300020019000;EMATOLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0019.000
705010300020020000;ENDOCRINOLOGIA E MALATTIE DEL METABOLISMO (VECCHIO ORDINAMENTO);;705.01.03.0002.0020.000
705010300020021000;ENDOCRINOLOGIA E MALATTIE DEL RICAMBIO (VECCHIO ORDINAMENTO);;705.01.03.0002.0021.000
705010300020022000;FARMACOLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0022.000
705010300020023000;FISICA SANITARIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0023.000
705010300020024000;FISIOPATOLOGIA E TERAPIA DEL DOLORE (VECCHIO ORDINAMENTO);;705.01.03.0002.0024.000
705010300020025000;GASTROENTEROLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0025.000
705010300020026000;GENETICA MEDICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0026.000
705010300020027000;GERIATRIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0027.000
705010300020028000;GINECOLOGIA E OSTETRICIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0028.000
705010300020029000;IDROLOGIA MEDICA (VECCHIO ORDINAMENTO);;705.01.03.0002.0029.000
705010300020030000;IGIENE E MEDICINA PREVENTIVA (VECCHIO ORDINAMENTO);;705.01.03.0002.0030.000
705010300020031000;MALATTIE DELL'APPARATO RESPIRATORIO (VECCHIO ORDINAMENTO);;705.01.03.0002.0031.000
705010300020032000;MALATTIE DELL'APPARATO CARDIOVASCOLARE (VECCHIO ORDINAMENTO);;705.01.03.0002.0032.000
705010300020033000;MALATTIE INFETTIVE (VECCHIO ORDINAMENTO);;705.01.03.0002.0033.000
705010300020034000;MEDICINA DEL LAVORO (VECCHIO ORDINAMENTO);;705.01.03.0002.0034.000
705010300020035000;MEDICINA DELLO SPORT (VECCHIO ORDINAMENTO);;705.01.03.0002.0035.000
705010300020036000;MEDICINA DI COMUNITÀ (VECCHIO ORDINAMENTO);;705.01.03.0002.0036.000
705010300020037000;MEDICINA FISICA E RIABILITAZIONE (VECCHIO ORDINAMENTO);;705.01.03.0002.0037.000
705010300020038000;MEDICINA INTERNA (VECCHIO ORDINAMENTO);;705.01.03.0002.0038.000
705010300020039000;MEDICINA LEGALE (VECCHIO ORDINAMENTO);;705.01.03.0002.0039.000
705010300020040000;MEDICINA NUCLEARE (VECCHIO ORDINAMENTO);;705.01.03.0002.0040.000
705010300020041000;MEDICINA TROPICALE (VECCHIO ORDINAMENTO);;705.01.03.0002.0041.000
705010300020042000;MICROBIOLOGIA E VIROLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0042.000
705010300020043000;NEFROLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0043.000
705010300020044000;NEUROCHIRURGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0044.000
705010300020045000;NEUROFISIOPATOLOGIA (VECCHIO ORDINAMENTO);;705.01.03.0002.0045.000
