"codice_1_livello","label_1_livello_it"
"AP","Abilitazione Professionale"
"CF","Corso di Formazione Professionale (monte ore massimo 200 ore)"
"CL","Perfezionamento insegnamento di disciplina non linguistica in lingua (CLIL)"
"CP","Corso di Perfezionamento/Alta Formazione (monte ore minimo 200 ore)"
"CT","Corsi di Specializzazione per le attivit� di Sostegno didattico agli alunni con disabilita (CSS)"
"DR","Dottorato di Ricerca"
"LM","Laurea Magistrale Ciclo Unico (DM 270/04)"
"LS","Laurea Specialistica (DM 509/99)"
"LT","Laurea Triennale (DM 509/99)"
"LV","Laurea Vecchio Ordinamento"
"M1","Master di Primo Livello"
"M2","Master di Secondo Livello"
"MA","Altri Master"
"MS","Laurea Magistrale (DM 270/04)"
"MT","Laurea (DM 270/04)"
"PG","Corso generico per Mobilita Incoming POST-LAUREA"
"PS","Percorsi Abilitanti Speciali (PAS)"
"SA","Scuola di Giornalismo, Altra Scuole di Specializzazione Non Medica Vecchio Ordinamento"
"SB","Scuola di Specializzazione Beni Culturali"
"SC","Scuola di Specializzazione Sanitaria - Area Chirurgica"
"SD","Scuola di Specializzazione Sanitaria - Area Medica"
"SL","Scuola di Specializzazione Professioni Legali"
"SM","Scuola di Specializzazione Medica Vecchio Ordinamento"
"SP","Scuola di Specializzazione Psicologia"
"SQ","Scuola di Specializzazione Psicologia (DM 50/2019)"
"SR","Scuola di Specializzazione Ricerca"
"SS","Scuola di Specializzazione Sanitaria - Area Servizi Clinici"
"SV","Scuola di Specializzazione Veterinaria"
"TF","Tirocinio Formativo Attivo (TFA)"
"TU","Laurea a Ciclo Unico (DM 509/99)"
