Livello;Livello Label;CODICE_ORIGINALE;CODICE_CHIAVE;LABEL;CODICE_PADRE
1;Area;1;1;IMMOBILI;
1;Area;2;2;TRASPORTI;
1;Area;3;3;AMBIENTE ED ENERGIA;
1;Area;4;4;AREE PRODUTTIVE;
1;Area;5;5;RICERCA, ITC, FORMAZIONE E ALTRO;
1;Area;6;6;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';
2;Settore;5;1_5;INFRASTRUTTURE SOCIALI;1
2;Settore;1;2_1;INFRASTRUTTURE DI TRASPORTO;2
2;Settore;2;3_2;INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE;3
2;Settore;3;3_3;INFRASTRUTTURE DEL SETTORE ENERGETICO;3
2;Settore;4;4_4;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;4
2;Settore;6;4_6;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;4
2;Settore;9;4_9;SERVIZI ALLE IMPRESE;4
2;Settore;11;4_11;ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO;4
2;Settore;6;5_6;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;5
2;Settore;7;5_7;INFRASTRUTTURE PER TELECOMUNICAZIONI E TECNOLOGIE INFORMATICHE;5
2;Settore;8;5_8;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;5
2;Settore;11;5_11;ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO;5
2;Settore;10;6_10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';6
3;Sottosettore;8;1_5_8;SOCIALI E SCOLASTICHE;1_5
3;Sottosettore;10;1_5_10;ABITATIVE;1_5
3;Sottosettore;11;1_5_11;BENI CULTURALI;1_5
3;Sottosettore;12;1_5_12;SPORT, SPETTACOLO E TEMPO LIBERO;1_5
3;Sottosettore;30;1_5_30;SANITARIE;1_5
3;Sottosettore;31;1_5_31;CULTO;1_5
3;Sottosettore;32;1_5_32;DIFESA;1_5
3;Sottosettore;33;1_5_33;DIREZIONALI E AMMINISTRATIVE;1_5
3;Sottosettore;34;1_5_34;GIUDIZIARIE E PENITENZIARIE;1_5
3;Sottosettore;36;1_5_36;PUBBLICA SICUREZZA;1_5
3;Sottosettore;99;1_5_99;ALTRE INFRASTRUTTURE SOCIALI;1_5
3;Sottosettore;1;2_1_1;STRADALI;2_1
3;Sottosettore;2;2_1_2;AEROPORTUALI;2_1
3;Sottosettore;3;2_1_3;FERROVIE;2_1
3;Sottosettore;4;2_1_4;MARITTIME LACUALI E FLUVIALI;2_1
3;Sottosettore;5;2_1_5;TRASPORTO URBANO;2_1
3;Sottosettore;6;2_1_6;TRASPORTI MULTIMODALI E ALTRE MODALITA' DI TRASPORTO;2_1
