LIVELLO;LEMMA_LIVELLO;COD_NODO_IRI;LEMMA_NODO_IT;LEMMA_NODO_EN ;CODICE_PADRE_IRI;COLLEG_MAPPA_CLAIST_SINT;DEFINIZIONE_EN;DEFINIZIONE_IT;ALT_LAB_IT;ALT_LAB_EN;NOTE
1;ISCED_A - TITOLO;CTS_0;Nessun titolo di studio ;"Early childhood education (‘less than primary’ for educational attainment); No educational degree";;;"BOZZA: ISCED level 0 programmes are usually school-based or otherwise institutionalised for a group of children (e.g. centre-based, community-based, home-based). ISCED level 0 excludes purely family-based arrangements that may be purposeful but are not organized in a ‘programme’ (e.g. informal learning by children from their parents, other relatives or friends is not included under ISCED 0). Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1. The upper age limit for the pre-primary education category depends in each case on the theoretical age of entry into ISCED level 1. (See ISCED 2011 Manual, paragraphs 107-108)";"BOZZA: I programmi ISCED livello 0 sono solitamente basati sulla scuola o in altro modo istituzionalizzati per un gruppo di bambini (ad esempio centri, comunitari, domestici). Il livello 0 dell'ISCED esclude gli accordi puramente familiari che possono essere intenzionali ma non sono organizzati in un 'programma' (ad esempio, l'apprendimento informale da parte dei bambini dai genitori, altri parenti o amici non è incluso nell'ISCED 0). All'interno di ISCED 0, i programmi di sviluppo educativo della prima infanzia sono rivolti ai bambini di età compresa tra 0 e 2 anni; e i programmi di istruzione pre-primaria sono rivolti ai bambini di età 3 anni fino all'età per iniziare ISCED 1. Il limite massimo di età per la categoria pre-primaria dipende in ogni caso dall'età teorica di ingresso al livello 1 dell'ISCED. (Vedi Manuale ISCED 2011, paragrafi 107-108)";PROVA 1;PROVA 1 EN;PROVA NOTE
1;ISCED_A - TITOLO;CTS_1;Istruzione primaria;Primary education;;;Programmes at ISCED level 1, or primary education, are typically designed to provide students with fundamental skills in reading, writing and mathematics (i.e. literacy and numeracy) and establish a solid foundation for learning and understanding core areas of knowledge, personal and social development, in preparation for lower secondary education. It focuses on learning at a basic level of complexity with little, if any, specialisation. (see ISCED 2011 Manual paragraph 120);I programmi di livello 1 ISCED, ovvero istruzione primaria, sono tipicamente progettati per fornire agli studenti competenze fondamentali in lettura, scrittura e matematica (cioè alfabetizzazione e matematica) e per stabilire una solida base per l'apprendimento e la comprensione delle aree fondamentali di conoscenza, sviluppo personale e sociale, in preparazione all'istruzione secondaria inferiore. Si concentra sull'apprendimento a un livello di complessità di base, con poca o nessuna specializzazione. (vedi ISCED 2011 Manuale paragrafo 120);;;
1;ISCED_A - TITOLO;CTS_2;Istruzione secondaria inferiore ;Lower secondary education;;;Programmes at ISCED level 2, or lower secondary education, are typically designed to build on the earning outcomes from ISCED level 1. Usually, the aim is to lay the foundation for lifelong learning and human development upon which education systems may then expand further educational opportunities. Some education systems may already offer vocational education programmes at ISCED level 2 to provide individuals with skills relevant to employment. Programmes at this level are usually organized around a more subject-oriented curriculum, introducing theoretical concepts across a broad range of subjects. Teachers typically have pedagogical training in specific subjects and, more often than at ISCED level 1, a class of students may have several teachers with specialised knowledge of the subjects they teach. (see ISCED 2011 Manual, paragraphs 139-140);I programmi al livello 2 ISCED, ovvero istruzione secondaria inferiore, sono tipicamente progettati per sviluppare i risultati di guadagno del livello 1 dell'ISCED. Di solito, l'obiettivo è gettare le basi per l'apprendimento permanente e lo sviluppo umano su cui i sistemi educativi possano poi ampliare ulteriori opportunità educative. Alcuni sistemi educativi possono già offrire programmi di formazione professionale al livello 2 ISCED per fornire agli individui competenze rilevanti per l'impiego. I programmi a questo livello sono solitamente organizzati attorno a un curriculum più orientato alle materie, introducendo concetti teorici in una vasta gamma di materie. Gli insegnanti tipicamente hanno una formazione pedagogica in materie specifiche e, più spesso rispetto al livello 1 ISCED, una classe di studenti può avere diversi insegnanti con conoscenze specializzate nelle materie che insegnano. (vedi Manuale ISCED 2011, paragrafi 139-140);;;
1;ISCED_A - TITOLO;CTS_3;Istruzione secondaria  superiore ;Upper secondary education;;;Programmes at ISCED level 3, or upper secondary education, are typically designed to complete secondary education in preparation for tertiary education or provide skills relevant to employment, or both. Programmes at this level offer students more varied, specialised and in-depth instruction than programmes at ISCED level 2. They are more differentiated, with an increased range of options and streams available. Teachers are often highly qualified in the subjects or fields of specialisation they teach, particularly in the higher grades. (see ISCED 2011 Manual, paragraphs 162-163);I programmi di livello 3 ISCED, ovvero istruzione secondaria superiore, sono tipicamente progettati per completare l'istruzione secondaria in preparazione all'istruzione terziaria o fornire competenze rilevanti per l'impiego, o entrambe le cose. I programmi a questo livello offrono agli studenti un'istruzione più varia, specializzata e approfondita rispetto ai programmi ISCED livello 2. Sono più differenziati, con una gamma più ampia di opzioni e flussi disponibili. Gli insegnanti sono spesso altamente qualificati nelle materie o nei campi di specializzazione che insegnano, in particolare nelle classi superiori. (vedi Manuale ISCED 2011, paragrafi 162-163);;;
1;ISCED_A - TITOLO;CTS_4;Istruzione post-secondaria non terziaria;Post-secondary non-tertiary education;;;"Post-secondary non-tertiary education provides learning experiences building on secondary education, preparing for labour market entry as well as tertiary education. It aims at the individual acquisition of knowledge, skills and competencies lower than the level of complexity characteristic of tertiary education. Programmes at ISCED level 4, or post-secondary non-tertiary education, are typically designed to provide individuals who completed ISCED level 3 with non-tertiary qualifications required for progression to tertiary education or for employment when their ISCED level 3 qualification does not grant such access. For example, graduates from general ISCED level 3 programmes may choose to complete a non-tertiary vocational qualification; or graduates from vocational ISCED level 3 programmes may choose to increase their level of qualifications or specialise further. The content of ISCED level 4 programmes is not sufficiently complex to be regarded as tertiary education, although it is clearly post-secondary. (see ISCED 2011 Manual, paragraph 185)";"L'istruzione post-secondaria non terziaria offre esperienze di apprendimento basate sull'istruzione secondaria, preparando sia all'ingresso nel mercato del lavoro sia all'istruzione terziaria. Mira all'acquisizione individuale di conoscenze, competenze e competenze inferiori al livello di complessità caratteristico dell'istruzione terziaria. I programmi di livello 4 ISCED, ovvero istruzione post-secondaria non terziaria, sono tipicamente progettati per fornire a chi ha completato ISCED livello 3 qualifiche non terziari necessarie per il progresso verso l'istruzione terziaria o per l'impiego quando la loro qualifica ISCED livello 3 non consente tale accesso. Ad esempio, i laureati dei programmi generali ISCED di livello 3 possono scegliere di completare una qualifica professionale non terziaria; oppure i laureati dei programmi professionali ISCED di livello 3 possono scegliere di aumentare il proprio livello di qualifiche o specializzarsi ulteriormente. Il contenuto dei programmi ISCED di livello 4 non è sufficientemente complesso da essere considerato istruzione terziaria, anche se è chiaramente post-secondario. (vedi Manuale ISCED 2011, paragrafo 185)";;;
1;ISCED_A - TITOLO;CTS_5;Istruzione terziaria a ciclo breve (non universitaria/accademica);Short-cycle tertiary education;;;Programmes at ISCED level 5, or short-cycle tertiary education, are often designed to provide participants with professional knowledge, skills and competencies. Typically, they are practically based, occupationally-specific and prepare students to enter the labour market. However, these programmes may also provide a pathway to other tertiary education programmes. Academic tertiary education programmes below the level of a Bachelor’s programme or equivalent are also classified as ISCED level 5. (see ISCED 2011 Manual, paragraph 207);I programmi di livello 5 ISCED, ovvero istruzione terziaria a ciclo breve, sono spesso progettati per fornire ai partecipanti conoscenze, competenze e competenze professionali. Tipicamente, sono basate su base pratica, specifiche per professione e preparano gli studenti all'ingresso nel mercato del lavoro. Tuttavia, questi programmi possono anche offrire un percorso verso altri programmi di istruzione terziaria. I programmi accademici di istruzione superiore inferiori al livello di un programma di laurea triennale o equivalente sono anch'essi classificati come livello ISCED 5. (vedi Manuale ISCED 2011, paragrafo 207);;;
1;ISCED_A - TITOLO;CTS_6;"Istruzione terziaria di 1° livello (universitaria/accademica/ITS Academy triennale)
";Bachelor’s or equivalent level;;;Programmes at ISCED level 6, or Bachelor’s or equivalent level, are often designed to provide participants with intermediate academic and/or professional knowledge, skills and competencies, leading to a first degree or equivalent qualification. Programmes at this level are typically theoretically-based but may include practical components and are informed by state of the art research and/or best professional practice. They are traditionally offered by universities and equivalent tertiary educational institutions. (see ISCED 2011 Manual, paragraph 224);I programmi al livello ISCED 6, o Bachelor o livello equivalente, sono spesso progettati per fornire ai partecipanti conoscenze accademiche e/o professionali intermedie, che conducono a una laurea di primo livello o a una qualifica equivalente. I programmi a questo livello sono tipicamente basati su teorie, ma possono includere componenti pratiche e sono guidati da ricerche all'avanguardia e/o dalle migliori pratiche professionali. Tradizionalmente sono offerte da università e istituzioni di istruzione superiore equivalenti. (vedi Manuale ISCED 2011, paragrafo 224);;;
1;ISCED_A - TITOLO;CTS_7;Istruzione terziaria di 2° livello (universitaria/accademica);Master’s or equivalent level;;;Programmes at ISCED level 7, or Master’s or equivalent level, are often designed to provide participants with advanced academic and/or professional knowledge, skills and competencies, leading to a second degree or equivalent qualification. Programmes at this level may have a substantial research component but do not yet lead to the award of a doctoral qualification. Typically, programmes at this level are theoretically-based but may include practical components and are informed by state of the art research and/or best professional practice. They are traditionally offered by universities and other tertiary educational institutions. (see ISCED 2011 Manual, paragraph 241);I programmi al livello ISCED 7, o Master o livello equivalente, sono spesso progettati per fornire ai partecipanti conoscenze accademiche e/o professionali avanzate, che portano a una seconda qualifica o qualifica equivalente. I programmi a questo livello possono avere una componente di ricerca sostanziale ma non portano ancora al conseguimento di una qualifica di dottorato. Tipicamente, i programmi a questo livello sono basati teoricamente ma possono includere componenti pratiche e sono informati da ricerche all'avanguardia e/o dalle migliori pratiche professionali. Tradizionalmente sono offerti da università e altre istituzioni di istruzione terziaria. (vedi Manuale ISCED 2011, paragrafo 241);;;
1;ISCED_A - TITOLO;CTS_8;Istruzione terziaria di 3° livello (universitaria/accademica);Doctoral or equivalent level;;;Programmes at ISCED level 8, or doctoral or equivalent level, are designed primarily to lead to an advanced research qualification. Programmes at this ISCED level are devoted to advanced study and original research and are typically offered only by research-oriented tertiary educational institutions such as universities. Doctoral programmes exist in both academic and professional fields. (see ISCED 2011 Manual, paragraph 259);I programmi al livello ISCED 8, o livello dottorale o equivalente, sono progettati principalmente per condurre a una qualifica di ricerca avanzata. I programmi a questo livello ISCED sono dedicati allo studio avanzato e alla ricerca originale e sono tipicamente offerti solo da istituzioni di istruzione terziaria orientate alla ricerca, come le università. I programmi di dottorato esistono sia in ambito accademico che professionale. (vedi Manuale ISCED 2011, paragrafo 259);;;
1;ISCED_A - TITOLO;CTS_99;Qualificazione di formazione professionale regionale di area operativa, di area tecnica e di alta formazione;Vocational qualification certificate (regional training courses);;;;;;;
2;TIPO - TITOLO;CTS_0_10;Nessun titolo di studio ;No educational degree;CTS_0;;;;;;
2;TIPO - TITOLO;CTS_1_10;"Licenza elementare; Certificazione delle competenze";Final assessment (primary school);CTS_1;;;;;;
2;TIPO - TITOLO;CTS_1_20;Attestato di conoscenza della lingua italiana (livello a2);Literacy and learning of Italian language certificate;CTS_1;;;;;;
2;TIPO - TITOLO;CTS_2_10;"Licenza media; Avviamento professionale; Diploma conclusivo del 1° ciclo di istruzione (Scuola secondaria di 1° grado)";Lower secondary education certificate;CTS_2;;;;;;
2;TIPO - TITOLO;CTS_3_10;"Diploma di qualifica professionale (triennale); Titolo di abilitazione all'insegnamento nella scuola materna (triennale); Licenza di maestro d'arte (triennale)";"Vocational qualification diploma (3 years); Pre-school teaching qualification  (3 years);Master craftsman certificate  (3 years)";CTS_3;;;;;;
2;TIPO - TITOLO;CTS_3_20;"Attestato di qualifica professionale IeFP di operatore (triennale); Diploma professionale IeFP di tecnico (quadriennale)";"IeFP vocational qualification - Operator (3 years); IeFP vocational diploma - Technician (4 years)";CTS_3;;;;;;
2;TIPO - TITOLO;CTS_3_30;"Diploma di maturità; Diploma di istruzione secondaria di 2° grado  (che danno accesso all’istruzione universitaria o accademica)";Upper secondary school diploma ;CTS_3;;;;;;
2;TIPO - TITOLO;CTS_4_10;Certificato di specializzazione tecnica superiore IFTS (incluso il Diploma di specializzazione in enotecnico);IFTS higher technical specialisation certificate (specialisation oenology diploma included);CTS_4;;;;;;
2;TIPO - TITOLO;CTS_5_10;"Diploma di tecnico superiore ITS;
Diploma di specializzazione per le tecnologie applicate ITS (biennale)";"ITS Higher technical diploma;
ITS specialisation in applied technologies diploma";CTS_5;;;;;;
