"COD_DUG","DESC_DUG","NAZIONALE","LOCALE","LOCALE_NAZIONALE_ENTRAMBI","AMBITO","NAZ_SIN_1","NAZ_SIN_2","NAZ_SIN_3","NAZ_SIN_4","NAZ_SIN_5","NUMERO_LOC_COM","LABEL","NOME","CODICE","IRI","IRI_SHORT"
153,"PERCORSO CICLOPEDONALE","PERCORSO CICLOPEDONALE","","PERCORSO CICLOPEDONALE","Nazionale","PERCORSO CICLABILE","PISTA CICLABILE","PERCORSO PEDONALE","","",,"","","","",""
534,"SPIAZZO","SPIAZZO","","SPIAZZO","Nazionale","LARGO","SLARGO","PIAZZA","PIAZZALE","PIAZZETTA",,"","","","",""
86,"LARGO","LARGO","","LARGO","Nazionale","LARGHETTO","SLARGO","SPIAZZO","","",,"","","","",""
130,"PIAZZA","PIAZZA","","PIAZZA","Nazionale","PIAZZALE","PIAZZETTA","SPIAZZO","","",,"","","","",""
281,"SLARGO","SLARGO","","SLARGO","Nazionale","LARGHETTO","LARGO","SPIAZZO","","",,"","","","",""
210,"STRADA","STRADA","","STRADA","Nazionale","STRADA COMUNALE","STRADA CONSORTILE","STRADA PANORAMICA","STRADA PODERALE","STRADA VICINALE",,"","","","",""
579,"STRADA VICINALE","STRADA VICINALE","","STRADA VICINALE","Nazionale","STRADA","STRADA CONSORTILE","STRADA PODERALE","","",,"","","","",""
894,"STRADA PODERALE","STRADA PODERALE","","STRADA PODERALE","Nazionale","STRADA","STRADA CONSORTILE","STRADA VICINALE","","",,"","","","",""
890,"STRADA CONSORTILE","STRADA CONSORTILE","","STRADA CONSORTILE","Nazionale","STRADA","STRADA PODERALE","STRADA VICINALE","","",,"","","","",""
640,"VIA PROVINCIALE","VIA PROVINCIALE","","VIA PROVINCIALE","Nazionale","VIA","VIA COMUNALE","VIA NAZIONALE","","",,"","","","",""
619,"VIA COMUNALE","VIA COMUNALE","","VIA COMUNALE","Nazionale","VIA","VIA VICINALE","VIA NAZIONALE","VIA PROVINCIALE","",,"","","","",""
940,"VIA NAZIONALE","VIA NAZIONALE","","VIA NAZIONALE","Nazionale","VIA","VIA COMUNALE","VIA PROVINCIALE","","",,"","","","",""
236,"VIA","VIA","","VIA","Nazionale","VIA COMUNALE","VIA PANORAMICA","VIA VICINALE","VIA NAZIONALE","VIA PROVINCIALE",,"","","","",""
685,"VICOLO CIECO","VICOLO CIECO","","VICOLO CIECO","Nazionale","VICO CHIUSO","VICOLO CHIUSO","VICO CIECO","","",,"","","","",""
661,"VICO CHIUSO","VICO CHIUSO","","VICO CHIUSO","Nazionale","VICOLO CHIUSO","VICO CIECO","VICOLO CIECO","","",,"","","","",""
662,"VICO CIECO","VICO CIECO","","VICO CIECO","Nazionale","VICO CHIUSO","VICOLO CHIUSO","VICOLO CIECO","","",,"","","","",""
684,"VICOLO CHIUSO","VICOLO CHIUSO","","VICOLO CHIUSO","Nazionale","VICO CHIUSO","VICO CIECO","VICOLO CIECO","","",,"","","","",""
180,"SCALE","","SCALE","SCALE","Locale","","","","","",1,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
180,"SCALE","","SCALE","SCALE","Locale","","","","","",2,"LINGUAGLOSSA (87021)","LINGUAGLOSSA","087021","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/087021-(1861-03-17)","​087021-(1861-03-17)"
180,"SCALE","","SCALE","SCALE","Locale","","","","","",3,"POTENZA (76063)","POTENZA","076063","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/076063-(1861-03-17)","​076063-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",1,"CORINALDO (42015)","CORINALDO","042015","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042015-(1861-03-17)","​042015-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",2,"RIETI (57059)","RIETI","057059","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/057059-(1927-01-12)","​057059-(1927-01-12)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",3,"EBOLI (65050)","EBOLI","065050","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065050-(1861-03-17)","​065050-(1861-03-17)"
186,"SCALETTE","","SCALETTE","SCALETTE","Locale","","","","","",4,"SCHIO (24100)","SCHIO","024100","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/024100-(1866-11-20)","​024100-(1866-11-20)"
192,"SCALONE","","SCALONE","SCALONE","Locale","","","","","",1,"ANCONA (42002)","ANCONA","042002","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/042002-(1861-03-17)","​042002-(1861-03-17)"
192,"SCALONE","","SCALONE","SCALONE","Locale","","","","","",2,"EBOLI (65050)","EBOLI","065050","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/065050-(1861-03-17)","​065050-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",1,"SCARPERIA E SAN PIERO (48053)","SCARPERIA E SAN PIERO","048053","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048053-(2014-01-01)","​048053-(2014-01-01)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",2,"RADDA IN CHIANTI (52023)","RADDA IN CHIANTI","052023","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/052023-(1861-03-17)","​052023-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",3,"FIRENZE (48017)","FIRENZE","048017","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/048017-(1861-03-17)","​048017-(1861-03-17)"
194,"SDRUCCIOLO","","SDRUCCIOLO","SDRUCCIOLO","Locale","","","","","",4,"L'AQUILA (66049)","L'AQUILA","066049","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/066049-(1861-03-17)","​066049-(1861-03-17)"
526,"SELCIATO","","SELCIATO","SELCIATO","Locale","","","","","",1,"PADOVA (28060)","PADOVA","028060","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/028060-(1866-11-20)","​028060-(1866-11-20)"
229,"SOPPORTICO","","SOPPORTICO","SOPPORTICO","Locale","","","","","",1,"TRICARICO (77028)","TRICARICO","077028","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/077028-(1927-01-12)","​077028-(1927-01-12)"
376,"SOPRAELEVATA","","SOPRAELEVATA","SOPRAELEVATA","Locale","","","","","",1,"MILANO (15146)","MILANO","015146","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/015146-(1861-03-17)","​015146-(1861-03-17)"
249,"SOTOPORTEGO","","SOTOPORTEGO","SOTOPORTEGO","Locale","","","","","",1,"VENEZIA (27042)","VENEZIA","027042","https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/027042-(1866-11-20)","​027042-(1866-11-20)"
