ID_COMUNE,ID_UTS,DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP,COD_VARIAZIONE,ID_COMUNE_REL
14,1,1946-12-23,1948-01-01,A525,1014,001014,Azeglio,AZEGLIO,,,1,1,Provincia,0,TO,1,CECS,10392
14,1,1948-01-01,2015-01-01,A525,1014,001014,Azeglio,AZEGLIO,,,1,1,Provincia,1,TO,1,,
14,117,2015-01-01,9999-12-31,A525,1014,001014,Azeglio,AZEGLIO,,,201,3,Città metropolitana,1,TO,1,APUTS,14
15,1,1861-03-17,1927-01-12,A584,1015,001015,Bairo,BAIRO,,,1,1,Provincia,0,TO,1,PV,
15,80,1927-01-12,1929-02-24,A584,7811,007811,Bairo,BAIRO,,,7,1,Provincia,0,AO,1,AP,15
15,80,1929-02-24,1929-02-24,A584,7811,007811,Bairo,BAIRO,,,7,1,Provincia,0,AO,1,ES,10048
16,1,1861-03-17,1948-01-01,A587,1016,001016,Balangero,BALANGERO,,,1,1,Provincia,0,TO,1,PV,
16,1,1948-01-01,2015-01-01,A587,1016,001016,Balangero,BALANGERO,,,1,1,Provincia,1,TO,1,,
16,117,2015-01-01,9999-12-31,A587,1016,001016,Balangero,BALANGERO,,,201,3,Città metropolitana,1,TO,1,APUTS,16
17,1,1861-03-17,1863-02-04,A590,1017,001017,Baldissero,BALDISSERO,,001501,1,1,Provincia,0,TO,1,PV,
17,1,1863-02-04,1927-01-12,A590,1017,001017,Baldissero Canavese,BALDISSERO CANAVESE,,,1,1,Provincia,0,TO,1,CD,17
17,80,1927-01-12,1929-05-03,A590,7813,007813,Baldissero Canavese,BALDISSERO CANAVESE,,,7,1,Provincia,0,AO,1,AP,17
17,80,1929-05-03,1929-05-03,A590,7813,007813,Baldissero Canavese,BALDISSERO CANAVESE,,,7,1,Provincia,0,AO,1,ES,65
18,1,1861-03-17,1863-02-04,A591,1018,001018,Baldissero,BALDISSERO,,001502,1,1,Provincia,0,TO,1,PV,
18,1,1863-02-04,1948-01-01,A591,1018,001018,Baldissero Torinese,BALDISSERO TORINESE,,,1,1,Provincia,0,TO,1,CD,18
18,1,1948-01-01,2015-01-01,A591,1018,001018,Baldissero Torinese,BALDISSERO TORINESE,,,1,1,Provincia,1,TO,1,,
18,117,2015-01-01,9999-12-31,A591,1018,001018,Baldissero Torinese,BALDISSERO TORINESE,,,201,3,Città metropolitana,1,TO,1,APUTS,18
19,1,1861-03-17,1948-01-01,A599,1019,001019,Balme,BALME,,,1,1,Provincia,0,TO,1,PV,
19,1,1948-01-01,2015-01-01,A599,1019,001019,Balme,BALME,,,1,1,Provincia,1,TO,1,,
19,117,2015-01-01,9999-12-31,A599,1019,001019,Balme,BALME,,,201,3,Città metropolitana,1,TO,1,APUTS,19
20,1,1861-03-17,1927-01-12,A607,1020,001020,Banchette,BANCHETTE,,,1,1,Provincia,0,TO,1,PV,
20,80,1927-01-12,1945-10-05,A607,7814,007814,Banchette,BANCHETTE,,,7,1,Provincia,0,AO,1,AP,20
20,1,1945-10-05,1948-01-01,A607,1020,001020,Banchette,BANCHETTE,,,1,1,Provincia,0,TO,1,AP,20
20,1,1948-01-01,2015-01-01,A607,1020,001020,Banchette,BANCHETTE,,,1,1,Provincia,1,TO,1,,
20,117,2015-01-01,9999-12-31,A607,1020,001020,Banchette,BANCHETTE,,,201,3,Città metropolitana,1,TO,1,APUTS,20
21,1,1861-03-17,1928-02-21,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,PV,
21,1,1928-02-21,1938-06-01,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,AQES,283
21,1,1928-02-21,1938-06-01,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,AQES,107
21,1,1938-06-01,1947-03-15,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,AQ,133
21,1,1947-03-15,1948-01-01,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,CECS,10516
21,1,1947-03-15,1948-01-01,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,0,TO,1,CECS,10522
21,1,1948-01-01,2015-01-01,A625,1021,001021,Barbania,BARBANIA,,,1,1,Provincia,1,TO,1,,
21,117,2015-01-01,9999-12-31,A625,1021,001021,Barbania,BARBANIA,,,201,3,Città metropolitana,1,TO,1,APUTS,21
22,1,1861-03-17,1927-07-27,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,0,TO,1,PV,
22,1,1927-07-27,1947-09-16,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,0,TO,1,AQES,344
22,1,1927-07-27,1947-09-16,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,0,TO,1,AQES,358
22,1,1927-07-27,1947-09-16,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,0,TO,1,AQES,342
22,1,1947-09-16,1948-01-01,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,0,TO,1,CE,
22,1,1948-01-01,2015-01-01,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,1,1,Provincia,1,TO,1,,
22,117,2015-01-01,9999-12-31,A651,1022,001022,Bardonecchia,BARDONECCHIA,,,201,3,Città metropolitana,1,TO,1,APUTS,22
23,1,1861-03-17,1927-01-12,A673,1023,001023,Barone Canavese,BARONE CANAVESE,,,1,1,Provincia,0,TO,1,PV,
23,80,1927-01-12,1945-10-05,A673,7815,007815,Barone Canavese,BARONE CANAVESE,,,7,1,Provincia,0,AO,1,AP,23
23,1,1945-10-05,1948-01-01,A673,1023,001023,Barone Canavese,BARONE CANAVESE,,,1,1,Provincia,0,TO,1,AP,23
23,1,1948-01-01,2015-01-01,A673,1023,001023,Barone Canavese,BARONE CANAVESE,,,1,1,Provincia,1,TO,1,,
23,117,2015-01-01,9999-12-31,A673,1023,001023,Barone Canavese,BARONE CANAVESE,,,201,3,Città metropolitana,1,TO,1,APUTS,23
24,1,1861-03-17,1948-01-01,A734,1024,001024,Beinasco,BEINASCO,,,1,1,Provincia,0,TO,1,PV,
24,1,1948-01-01,2015-01-01,A734,1024,001024,Beinasco,BEINASCO,,,1,1,Provincia,1,TO,1,,
24,117,2015-01-01,9999-12-31,A734,1024,001024,Beinasco,BEINASCO,,,201,3,Città metropolitana,1,TO,1,APUTS,24
25,1,1861-03-17,1948-01-01,A853,1025,001025,Bibiana,BIBIANA,,,1,1,Provincia,0,TO,1,PV,
25,1,1948-01-01,2015-01-01,A853,1025,001025,Bibiana,BIBIANA,,,1,1,Provincia,1,TO,1,,
25,117,2015-01-01,9999-12-31,A853,1025,001025,Bibiana,BIBIANA,,,201,3,Città metropolitana,1,TO,1,APUTS,25
26,1,1861-03-17,1948-01-01,A910,1026,001026,Bobbio Pellice,BOBBIO PELLICE,,,1,1,Provincia,0,TO,1,PV,
26,1,1948-01-01,2015-01-01,A910,1026,001026,Bobbio Pellice,BOBBIO PELLICE,,,1,1,Provincia,1,TO,1,,
26,117,2015-01-01,9999-12-31,A910,1026,001026,Bobbio Pellice,BOBBIO PELLICE,,,201,3,Città metropolitana,1,TO,1,APUTS,26
27,1,1861-03-17,1927-01-12,A941,1027,001027,Bollengo,BOLLENGO,,,1,1,Provincia,0,TO,1,PV,
27,80,1927-01-12,1929-04-19,A941,7816,007816,Bollengo,BOLLENGO,,,7,1,Provincia,0,AO,1,AP,27
27,80,1929-04-19,1945-10-05,A941,7816,007816,Bollengo,BOLLENGO,,,7,1,Provincia,0,AO,1,AQES,42
27,1,1945-10-05,1946-12-24,A941,1027,001027,Bollengo,BOLLENGO,,,1,1,Provincia,0,TO,1,AP,27
27,1,1946-12-24,1948-01-01,A941,1027,001027,Bollengo,BOLLENGO,,,1,1,Provincia,0,TO,1,CECS,10398
27,1,1948-01-01,2015-01-01,A941,1027,001027,Bollengo,BOLLENGO,,,1,1,Provincia,1,TO,1,,
27,117,2015-01-01,9999-12-31,A941,1027,001027,Bollengo,BOLLENGO,,,201,3,Città metropolitana,1,TO,1,APUTS,27
28,1,1861-03-17,1948-01-01,A990,1028,001028,Borgaro Torinese,BORGARO TORINESE,,,1,1,Provincia,0,TO,1,PV,
28,1,1948-01-01,2015-01-01,A990,1028,001028,Borgaro Torinese,BORGARO TORINESE,,,1,1,Provincia,1,TO,1,,
28,117,2015-01-01,2017-04-18,A990,1028,001028,Borgaro Torinese,BORGARO TORINESE,,,201,3,Città metropolitana,1,TO,1,APUTS,28
28,117,2017-04-18,9999-12-31,A990,1028,001028,Borgaro Torinese,BORGARO TORINESE,,,201,3,Città metropolitana,1,TO,1,CECS,11255
29,1,1861-03-17,1927-01-12,B003,1029,001029,Borgiallo,BORGIALLO,,,1,1,Provincia,0,TO,1,PV,
29,80,1927-01-12,1928-09-25,B003,7817,007817,Borgiallo,BORGIALLO,,,7,1,Provincia,0,AO,1,AP,29
29,80,1928-09-25,1928-09-25,B003,7817,007817,Borgiallo,BORGIALLO,,,7,1,Provincia,0,AO,1,ES,96
30,1,1861-03-17,1863-02-04,B015,1030,001030,Borgofranco,BORGOFRANCO,,001503,1,1,Provincia,0,TO,1,PV,
30,1,1863-02-04,1894-02-01,B015,1030,001030,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,1,1,Provincia,0,TO,1,CD,30
30,1,1894-02-01,1927-01-12,B015,1030,001030,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,1,1,Provincia,0,TO,1,CE,164
30,80,1927-01-12,1929-03-02,B015,7818,007818,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,7,1,Provincia,0,AO,1,AP,30
30,80,1929-03-02,1945-10-05,B015,7818,007818,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,7,1,Provincia,0,AO,1,AQES,206
30,80,1929-03-02,1945-10-05,B015,7818,007818,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,7,1,Provincia,0,AO,1,AQES,311
30,1,1945-10-05,1948-01-01,B015,1030,001030,Borgofranco d'Ivrea,BORGOFRANCO D'IVREA,,,1,1,Provincia,0,TO,1,AP,30
63,1,1939-02-05,1948-01-01,C045,1064,001064,Castagneto Po,CASTAGNETO PO,,,1,1,Provincia,0,TO,1,AQ,110
63,1,1948-01-01,1948-04-23,C045,1064,001064,Castagneto Po,CASTAGNETO PO,,,1,1,Provincia,1,TO,1,,
