DATA_INIZIO_AMMINISTRATIVA,DATA_FINE_AMMINISTRATIVA,COD_CATASTO,PRO_COM,PRO_COM_T,COMUNE,COMUNE_IT,COMUNE_A,COD_DEN_STORICO,COD_UTS,ID_UTS_TIPO,DESC_UTS_TIPO,COD_REG,SIGLA_UTS,COD_RIP
16-10-1920,14-02-1923,A021,802001,802001,Acereto/Ahornach,ACERETO,AHORNACH,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,A021,22943,022943,Acereto/Ahornach,ACERETO,AHORNACH,,022,1,Provincia,00,TN,2
12-01-1927,08-02-1929,A021,21801,021801,Acereto/Ahornach,ACERETO,AHORNACH,,021,1,Provincia,00,BZ,2
08-02-1929,08-02-1929,A021,21801,021801,Acereto/Ahornach,ACERETO,AHORNACH,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,A151,802004,802004,Albes/Albeins,ALBES,ALBEINS,,802,1,Provincia,00,TN,2
14-02-1923,12-01-1927,A151,22944,022944,Albes/Albeins,ALBES,ALBEINS,,022,1,Provincia,00,TN,2
12-01-1927,08-09-1928,A151,21802,021802,Albes/Albeins,ALBES,ALBEINS,,021,1,Provincia,00,BZ,2
08-09-1928,08-09-1928,A151,21802,021802,Albes/Albeins,ALBES,ALBEINS,,021,1,Provincia,00,BZ,2
16-10-1920,14-02-1923,A179,802007,802007,Valdagno/Aldein,VALDAGNO,ALDEIN,021500,802,1,Provincia,00,TN,2
14-02-1923,16-08-1928,A179,22945,022945,Valdagno/Aldein,VALDAGNO,ALDEIN,021500,022,1,Provincia,00,TN,2
16-08-1928,01-01-1948,A179,22945,022945,Valdagno di Trento/Aldein,VALDAGNO DI TRENTO,ALDEIN,021501,022,1,Provincia,00,TN,2
01-01-1948,14-03-1948,A179,22945,022945,Valdagno di Trento/Aldein,VALDAGNO DI TRENTO,ALDEIN,021501,022,1,Provincia,04,TN,2
14-03-1948,02-03-1955,A179,21001,021001,Valdagno/Aldein,VALDAGNO,ALDEIN,021500,021,1,Provincia,04,BZ,2
02-03-1955,05-12-1972,A179,21001,021001,Aldino/Aldein,ALDINO,ALDEIN,,021,1,Provincia,04,BZ,2
05-12-1972,31-12-9999,A179,21001,021001,Aldino/Aldein,ALDINO,ALDEIN,,021,2,Provincia autonoma,04,BZ,2
16-10-1920,14-02-1923,A209,802008,802008,Alliz/Allitz,ALLIZ,ALLITZ,,802,1,Provincia,00,TN,2
