"TIPO_UTS","DESC_TIPO_UTS","COD_UTS","DEN_UTS","SIGLA_UTS","DATA_INIZIO_AMMINISTRATIVA"
1,"Provincia","001","Torino","TO","2015-01-01"
1,"Provincia","010","Genova","GE","2015-01-01"
1,"Provincia","015","Milano","MI","2015-01-01"
1,"Provincia","027","Venezia","VE","2015-01-01"
1,"Provincia","030","Udine","UD","2018-04-22"
1,"Provincia","031","Gorizia","GO","2017-09-30"
1,"Provincia","032","Trieste","TS","2017-09-30"
1,"Provincia","037","Bologna","BO","2015-01-01"
1,"Provincia","048","Firenze","FI","2015-01-01"
1,"Provincia","058","Roma","RM","2015-01-01"
1,"Provincia","061","Caserta","CE","1927-01-12"
1,"Provincia","063","Napoli","NA","2015-01-01"
1,"Provincia","072","Bari","BA","2015-01-01"
1,"Provincia","080","Reggio di Calabria","RC","2016-12-29"
1,"Provincia","081","Trapani","TP","2016-06-06"
1,"Provincia","082","Palermo","PA","2016-06-06"
1,"Provincia","083","Messina","ME","2016-06-06"
1,"Provincia","084","Agrigento","AG","2016-06-06"
1,"Provincia","085","Caltanissetta","CL","2016-06-06"
1,"Provincia","086","Enna","EN","2016-06-06"
1,"Provincia","087","Catania","CT","2016-06-06"
1,"Provincia","088","Ragusa","RG","2016-06-06"
1,"Provincia","089","Siracusa","SR","2016-06-06"
1,"Provincia","090","Sassari","SS","2025-07-17"
1,"Provincia","092","Cagliari","CA","2016-04-28"
1,"Provincia","093","Pordenone","PN","2017-09-30"
1,"Provincia","104","Olbia-Tempio","OT","2016-04-28"
1,"Provincia","105","Ogliastra","OG","2016-04-28"
1,"Provincia","106","Medio Campidano","VS","2016-04-28"
1,"Provincia","107","Carbonia-Iglesias","CI","2016-04-28"
1,"Provincia","111","Sud Sardegna","SU","2025-07-17"
1,"Provincia","701","Fiume","FU","1947-09-16"
1,"Provincia","702","Istria (Pola)","PL","1947-09-16"
1,"Provincia","703","Zara","ZA","1947-09-16"
1,"Provincia","801","Venezia Giulia","Venezia Giulia","1923-02-08"
1,"Provincia","802","Venezia Tridentina","TN","1923-02-14"
